Order,Index,Topic,Argument,Words,Condition_Share,Share
1,49,Did a divine being create the universe?,Science offers alternative explanations for the origin of the universe,10,0,0
2,229,Will man-made climate change cause human extinction?,The effects of global warming directly threaten the land and environment that humans need to live,16,0,0
3,156,Is modern technology a disadvantage to society?,Many societies would not be possible without modern technology - especially large urbanized societies,14,0,0
4,157,Is modern technology a disadvantage to society?,Technology has forever changed day-to-day life for the better,9,0,0
5,216,Is Eating Meat Wrong?,The taste of meat is delicious and brings many people pleasure in a manner that vegetarian food cannot fully imitate,20,0,0
6,166,Pro-Life vs Pro-Choice: Should Abortion be Legal?,The ability for people to control their own reproduction is fundamental to achieving gender equality,15,0,0
7,217,Is Eating Meat Wrong?,Consuming meat is an important part of many cultures and religions,11,0,0
8,138,Should lottery be an integral component of democratic political systems?,Politicians elected via lottery would be better at their job,10,0,0
9,143,Should lottery be an integral component of democratic political systems?,Being appointed to a position of power by lottery would leave many people overwhelmed and unprepared,16,0,0
10,112,Is radiation from cell phones and Wi-Fi harmful?,Cell phone radiation is absorbed more by children's brains than by adult's brains,13,0,0
11,21,Are Humans fundamentally different from other animals?,Humans are intellectually superior to other beings on Earth,9,0,0
12,195,Should Sex Work Be Legal?,The government has no right to outlaw an interaction between consenting adults,12,0,0
13,117,Is Science Akin To Religion?,Science and religion are similar in that both have been used to explain the origin of man,17,0,0
14,198,Should Sex Work Be Legal?,"The legalisation of sex work increases its prevalence, resulting in more harm",12,0,0
15,167,Pro-Life vs Pro-Choice: Should Abortion be Legal?,"If people have the right to choose, they could make biased choices regarding which foetuses to abort",17,0,0
16,232,Will man-made climate change cause human extinction?,"If tipping points are reached, the collapse of ecosystems can lead to the extinction of the human race",18,0,0
17,214,Is Eating Meat Wrong?,Ending the production of meat will be necessary in order to meet the growing food needs of the world's population,20,0,0
18,219,Is Eating Meat Wrong?,"Eating meat is a key element of human nature, evolution, and physiology/biology and thus its consumption is inherent to humankind",20,0,0
19,115,Is radiation from cell phones and Wi-Fi harmful?,The effects of cell phones and Wi-Fi are minimal at best,11,0,0
20,286,Should we adapt to climate change rather than avert it?,Adapting to climate change would be faster than averting it,10,0,0
21,199,Should the sale of genetically modified food be banned?,Genetically modified food endangers the health of people who consume it,11,0,0
22,196,Should Sex Work Be Legal?,"It is impossible to eradicate sex work as a profession. Therefore, it would be better to legalise it",18,0,0
23,230,Will man-made climate change cause human extinction?,Animal species have already started to become extinct. Human extinction is likely to follow,14,0,0
24,151,Is modern technology a disadvantage to society?,We are unable to enjoy the present moments in our life due to technology,14,0,0
25,152,Is modern technology a disadvantage to society?,"Modern Technology is outpacing our ability to comprehend, write and approve any effective policy that can protect us from technological harm",21,0,0
26,23,Are Humans fundamentally different from other animals?,Humans have a sense of self-awareness and individual identity,9,0,0
27,281,Should there be no limit to freedom of speech?,"One person's freedom ends where another's begins: offensive, threatening speech should be illegal",13,0,0
28,116,Is radiation from cell phones and Wi-Fi harmful?,"Cell phones and Wi-Fi emit non-ionising radiation, which is not harmful in small doses",14,0,0
29,290,Should we adapt to climate change rather than avert it?,"If we decide to adapt to climate change, then we will lose the ability to avert it",17,0,0
30,204,Should the sale of genetically modified food be banned?,"GMOs are more cost effective than unmodified foods, bringing many benefits",11,0,0
31,228,Should the use of plastic be avoided?,Plastic may just be replaced with something less environmentally sound,16,0,0
32,140,Should lottery be an integral component of democratic political systems?,"There would be less corruption as every time the lottery happens, all the corruption would leave",16,0,0
33,113,Is radiation from cell phones and Wi-Fi harmful?,Cell phone radiation increases the permeability of the blood-brain barrier,10,0,0
34,212,Is Eating Meat Wrong?,"Eating meat, in the majority of cases, involves the cruel and immoral treatment of animals",15,0,0
35,237,Will man-made climate change cause human extinction?,Evidences and statistics suggest that actions taken by us are enough to deal with major climate change,17,0,0
36,272,Should there be no limit to freedom of speech?,Censorship leads to narrow mindedness by preventing sincere and open discussion,11,0,0
37,221,Should the use of plastic be avoided?,"The less plastic we use, the less plastic we need to produce",12,0,0
38,31,Is Darwinian Evolution Philosophy or Science?,No single example of evolution has ever been documented,9,0,0
39,101,Is it ethically wrong to watch pornography?,"Masturbation is natural and beneficial, and porn is a useful masturbation aid",12,0,0
40,124,Is Science Akin To Religion?,"Unlike religion, science is based on evidence and experimentation, which is a more reliable methodology for attaining truth",18,0,0
41,213,Is Eating Meat Wrong?,Vegetarian diets directly and indirectly contribute to better health outcomes for all humans,13,0,0
42,123,Is Science Akin To Religion?,Science is highly dynamic and constantly evolving; religions are usually static and conservatory,13,0,0
43,136,Should lottery be an integral component of democratic political systems?,Politics would be more representative under a lottery system,9,0,0
44,107,Is it ethically wrong to watch pornography?,"Watching pornography contributes to human rights abuses, including gender inequality",10,0,0
45,177,Should animal testing be banned?,There are preferable alternatives to animal testing that are more accurate and humane,13,0,0
46,50,Did a divine being create the universe?,Observations have dwindled for God's creative power as humanity has advanced,11,0,0
47,200,Should the sale of genetically modified food be banned?,Genetically modified foods can be harmful to the environment and ecosystems,11,0,0
48,158,Should some people feel obliged to change their lifestyle to combat global warming?,Politicians and political parties should be responsible for enacting the laws and regulations necessary to make changes at scale,19,0,0
49,130,Is social media helping or harming human relationships?,"Social media has made it easier to communicate, improving the quality of communication",13,0,0
50,173,Should abortion be considered murder?,"Since death is the intention, such procedures should be considered murder",11,0,0
51,181,Should nuclear energy replace fossil fuels?,Nuclear energy holds much more potential than fossil fuels in evolving through technological breakthroughs and increased efficiency,17,0,0
52,29,Are Humans fundamentally different from other animals?,Genetics prove humans are fundamentally very similar to other species,10,0,0
53,26,Are Humans fundamentally different from other animals?,"All animals are fundamentally different from each other, and there's nothing unique about humans that separate them from animals",19,0,0
54,276,Should there be no limit to freedom of speech?,Isolated speech has zero capacity to inflict physical harm,9,0,0
55,287,Should we adapt to climate change rather than avert it?,It is impossible to stop climate change and its impacts,10,0,0
56,134,Is social media helping or harming human relationships?,Social media is shown to induce depression in individuals,9,0,0
57,153,Is modern technology a disadvantage to society?,Our society is changing at a pace that must be matched by technological development to prevent disaster,17,0,0
58,220,Should the use of plastic be avoided?,"The less plastic we use, the less plastic pollution there will be",12,0,0
59,60,Do electronic devices help or hurt children's development?,Devices can negatively affect children's social and psychological development,9,0,0
60,54,Do electronic devices help or hurt children's development?,Devices can benefit parents by offering them greater control over their children's development,13,0,0
61,47,Did a divine being create the universe?,Many complex phenomena and interactions in the universe indicate the work of a creator,14,0,0
62,162,Should some people feel obliged to change their lifestyle to combat global warming?,People living in privileged positions have a moral responsibility to change their lifestyles,13,0,0
63,289,Should we adapt to climate change rather than avert it?,"Adaptation is a short-term solution, whereas averting climate change is a long-term solution",13,0,0
64,62,Do electronic devices help or hurt children's development?,Boredom sparks creativity but with a smartphone children are never bored and don't learn to be creative,17,0,0
65,190,Should religion be involved in politics?,"Almost all laws are based on moral beliefs, therefore it is appropriate for religious persons to be involved in politics",20,0,0
66,203,Should the sale of genetically modified food be banned?,A universal ban is not the right approach to addressing any potential problems with genetically modified foods,17,0,0
67,59,Do electronic devices help or hurt children's development?,Using devices in school can negatively affect children's grades,9,0,0
68,194,Should religion be involved in politics?,Politics and religion should be put aside. Three aspects of life should NOT co-exist: religion-state-army,15,0,0
69,164,Pro-Life vs Pro-Choice: Should Abortion be Legal?,People have a right to bodily autonomy and should ultimately be able to make choices about what happens to their bodies,21,0,0
70,188,Should religion be involved in politics?,The involvement of religion in politics is necessary to ensure laws and policies are ethical,15,0,0
71,126,Is Science Akin To Religion?,"Surveying definitions of religion shows a focus on divinity and spirituality, which are not present in Western science at all",20,0,0
72,227,Should the use of plastic be avoided?,"As long as it is reusable, there is nothing wrong with plastic",12,0,0
73,155,Is modern technology a disadvantage to society?,Technologically backwards countries have no power on the global stage,10,0,0
74,121,Is Science Akin To Religion?,Science and religion both need belief in something that you do not personally understand to function,16,0,0
75,280,Should there be no limit to freedom of speech?,Unlimited freedom of speech can be used to spread hateful and/or harmful ideologies,13,0,0
76,37,Is Darwinian Evolution Philosophy or Science?,Darwin's theory has logical flaws and is therefore hardly in the realm of science,14,0,0
77,245,Should all drugs be legalised?,The enforcement of the criminalisation of drugs has harmed communities around the world and should be stopped,17,0,0
78,119,Is Science Akin To Religion?,Science and religion both use personal experience as a means to understand existence,13,0,0
79,242,Will man-made climate change cause human extinction?,Man-made carbon emissions are likely to protect humans from another ice age,12,0,0
80,132,Is social media helping or harming human relationships?,Social media allows users to connect with more people,9,0,0
81,175,Should abortion be considered murder?,"A fetus or embryo is not a person; therefore, abortion should not be considered murder",15,0,0
82,56,Do electronic devices help or hurt children's development?,Electronic devices help differently abled children read and write like other kids,12,0,0
83,247,Should all drugs be legalised?,Using drugs can be an important and positive experience for individuals and communities,13,0,0
84,222,Should the use of plastic be avoided?,"Plastics are exported and, therefore, less plastic reduces emissions that result from transportation",13,0,0
85,249,Should all drugs be legalised?,Drugs should remain banned because they are detrimental to the health of those who use them,16,0,0
86,202,Should the sale of genetically modified food be banned?,Genetically modified crops can work towards mitigating world hunger and nutritional deficiencies,12,0,0
87,236,Will man-made climate change cause human extinction?,Climate Change is slow. We can adapt within that timeframe,10,0,0
88,233,Will man-made climate change cause human extinction?,"Human evolution is slower than the rate of climate change, making it difficult for humans to adapt to climate change",20,0,0
89,246,Should all drugs be legalised?,"If drugs were legalised, the drug trade would be less able to fuel serious crime",15,0,0
90,149,Is modern technology a disadvantage to society?,Relying too heavily on technology makes a society vulnerable,9,0,0
91,176,Should abortion be considered murder?,Equating abortion with murder would cause women to use unsafe methods and put their lives at risk,17,0,0
92,128,Is Science Akin To Religion?,"There exist many kinds of different religions, some are akin to science, and some are not",16,0,0
93,193,Should religion be involved in politics?,Involving religion in politics is antithetical to the principles of a secular democratic society,14,0,0
94,24,Are Humans fundamentally different from other animals?,Humans have Human Consciousness which is ontologically and fundamentally different than any other form of consciousness,16,0,0
95,150,Is modern technology a disadvantage to society?,"Technology allows individuals to own or control property at a distance, lessening that individual's direct responsibility for the property",19,0,0
96,184,Should nuclear energy replace fossil fuels?,There is a concern in nuclear reactor safety and potential disaster to stakeholders,13,0,0
97,288,Should we adapt to climate change rather than avert it?,Humanity has a long history of successfully adapting to climate change,11,0,0
98,180,Should animal testing be banned?,Animal testing is an effective method of testing products,9,0,0
99,161,Should some people feel obliged to change their lifestyle to combat global warming?,People in today's society should change their lifestyles because the quality of life of future generations is equally important,19,0,0
100,159,Should some people feel obliged to change their lifestyle to combat global warming?,Changes to individual lifestyles do not make a difference,9,0,0
