Index,URL,Topic,Claim,Argument,Pro_Con,Words
21,https://www.kialo.com/are-humans-fundamentally-different-from-other-animals-9265,Are Humans fundamentally different from other animals?,Humans are fundamentally different from other animals,Humans are intellectually superior to other beings on Earth,pro,9
23,https://www.kialo.com/are-humans-fundamentally-different-from-other-animals-9265,Are Humans fundamentally different from other animals?,Humans are fundamentally different from other animals,Humans have a sense of self-awareness and individual identity,pro,9
24,https://www.kialo.com/are-humans-fundamentally-different-from-other-animals-9265,Are Humans fundamentally different from other animals?,Humans are fundamentally different from other animals,Humans have Human Consciousness which is ontologically and fundamentally different than any other form of consciousness,pro,16
26,https://www.kialo.com/are-humans-fundamentally-different-from-other-animals-9265,Are Humans fundamentally different from other animals?,Humans are fundamentally different from other animals,"All animals are fundamentally different from each other, and there's nothing unique about humans that separate them from animals",con,19
29,https://www.kialo.com/are-humans-fundamentally-different-from-other-animals-9265,Are Humans fundamentally different from other animals?,Humans are fundamentally different from other animals,Genetics prove humans are fundamentally very similar to other species,con,10
31,https://www.kialo.com/is-darwinian-evolution-philosophy-or-science-18393,Is Darwinian Evolution Philosophy or Science?,Darwinian evolution is philosophy not science,No single example of evolution has ever been documented,pro,9
37,https://www.kialo.com/is-darwinian-evolution-philosophy-or-science-18393,Is Darwinian Evolution Philosophy or Science?,Darwinian evolution is philosophy not science,Darwin's theory has logical flaws and is therefore hardly in the realm of science,pro,14
47,https://www.kialo.com/did-a-divine-being-create-the-universe-31848,Did a divine being create the universe?,A divine being created the universe,Many complex phenomena and interactions in the universe indicate the work of a creator,pro,14
49,https://www.kialo.com/did-a-divine-being-create-the-universe-31848,Did a divine being create the universe?,A divine being created the universe,Science offers alternative explanations for the origin of the universe,con,10
50,https://www.kialo.com/did-a-divine-being-create-the-universe-31848,Did a divine being create the universe?,A divine being created the universe,Observations have dwindled for God's creative power as humanity has advanced,con,11
54,https://www.kialo.com/do-electronic-devices-help-or-hurt-childrens-development-15819,Do electronic devices help or hurt children's development?,"Giving devices (phone, tablet, computer, etc.) to children is valuable for their development",Devices can benefit parents by offering them greater control over their children's development,pro,13
56,https://www.kialo.com/do-electronic-devices-help-or-hurt-childrens-development-15819,Do electronic devices help or hurt children's development?,"Giving devices (phone, tablet, computer, etc.) to children is valuable for their development",Electronic devices help differently abled children read and write like other kids,pro,12
59,https://www.kialo.com/do-electronic-devices-help-or-hurt-childrens-development-15819,Do electronic devices help or hurt children's development?,"Giving devices (phone, tablet, computer, etc.) to children is valuable for their development",Using devices in school can negatively affect children's grades,con,9
60,https://www.kialo.com/do-electronic-devices-help-or-hurt-childrens-development-15819,Do electronic devices help or hurt children's development?,"Giving devices (phone, tablet, computer, etc.) to children is valuable for their development",Devices can negatively affect children's social and psychological development,con,9
62,https://www.kialo.com/do-electronic-devices-help-or-hurt-childrens-development-15819,Do electronic devices help or hurt children's development?,"Giving devices (phone, tablet, computer, etc.) to children is valuable for their development",Boredom sparks creativity but with a smartphone children are never bored and don't learn to be creative,con,17
101,https://www.kialo.com/is-it-ethically-wrong-to-watch-pornography-5428,Is it ethically wrong to watch pornography?,It is not ethically wrong to watch pornography,"Masturbation is natural and beneficial, and porn is a useful masturbation aid",pro,12
107,https://www.kialo.com/is-it-ethically-wrong-to-watch-pornography-5428,Is it ethically wrong to watch pornography?,It is not ethically wrong to watch pornography,"Watching pornography contributes to human rights abuses, including gender inequality",con,10
112,https://www.kialo.com/is-radiation-from-cell-phones-and-wi-fi-harmful-10180,Is radiation from cell phones and Wi-Fi harmful?,Radiation from cell phones and Wi-Fi is harmful,Cell phone radiation is absorbed more by children's brains than by adult's brains,pro,13
113,https://www.kialo.com/is-radiation-from-cell-phones-and-wi-fi-harmful-10180,Is radiation from cell phones and Wi-Fi harmful?,Radiation from cell phones and Wi-Fi is harmful,Cell phone radiation increases the permeability of the blood-brain barrier,pro,10
115,https://www.kialo.com/is-radiation-from-cell-phones-and-wi-fi-harmful-10180,Is radiation from cell phones and Wi-Fi harmful?,Radiation from cell phones and Wi-Fi is harmful,The effects of cell phones and Wi-Fi are minimal at best,con,11
116,https://www.kialo.com/is-radiation-from-cell-phones-and-wi-fi-harmful-10180,Is radiation from cell phones and Wi-Fi harmful?,Radiation from cell phones and Wi-Fi is harmful,"Cell phones and Wi-Fi emit non-ionising radiation, which is not harmful in small doses",con,14
117,https://www.kialo.com/is-science-akin-to-religion-32184,Is Science Akin To Religion?,Science is akin to religion,Science and religion are similar in that both have been used to explain the origin of man,pro,17
119,https://www.kialo.com/is-science-akin-to-religion-32184,Is Science Akin To Religion?,Science is akin to religion,Science and religion both use personal experience as a means to understand existence,pro,13
121,https://www.kialo.com/is-science-akin-to-religion-32184,Is Science Akin To Religion?,Science is akin to religion,Science and religion both need belief in something that you do not personally understand to function,pro,16
123,https://www.kialo.com/is-science-akin-to-religion-32184,Is Science Akin To Religion?,Science is akin to religion,Science is highly dynamic and constantly evolving; religions are usually static and conservatory,con,13
124,https://www.kialo.com/is-science-akin-to-religion-32184,Is Science Akin To Religion?,Science is akin to religion,"Unlike religion, science is based on evidence and experimentation, which is a more reliable methodology for attaining truth",con,18
126,https://www.kialo.com/is-science-akin-to-religion-32184,Is Science Akin To Religion?,Science is akin to religion,"Surveying definitions of religion shows a focus on divinity and spirituality, which are not present in Western science at all",con,20
128,https://www.kialo.com/is-science-akin-to-religion-32184,Is Science Akin To Religion?,Science is akin to religion,"There exist many kinds of different religions, some are akin to science, and some are not",con,16
130,https://www.kialo.com/is-social-media-helping-or-harming-human-relationships-5763,Is social media helping or harming human relationships?,Social media is helping human relationships,"Social media has made it easier to communicate, improving the quality of communication",pro,13
132,https://www.kialo.com/is-social-media-helping-or-harming-human-relationships-5763,Is social media helping or harming human relationships?,Social media is helping human relationships,Social media allows users to connect with more people,pro,9
134,https://www.kialo.com/is-social-media-helping-or-harming-human-relationships-5763,Is social media helping or harming human relationships?,Social media is helping human relationships,Social media is shown to induce depression in individuals,con,9
136,https://www.kialo.com/lottery-should-be-an-integral-component-of-democratic-political-systems-10220,Should lottery be an integral component of democratic political systems?,Lottery should be an integral component of democratic political systems,Politics would be more representative under a lottery system,pro,9
138,https://www.kialo.com/lottery-should-be-an-integral-component-of-democratic-political-systems-10220,Should lottery be an integral component of democratic political systems?,Lottery should be an integral component of democratic political systems,Politicians elected via lottery would be better at their job,pro,10
140,https://www.kialo.com/lottery-should-be-an-integral-component-of-democratic-political-systems-10220,Should lottery be an integral component of democratic political systems?,Lottery should be an integral component of democratic political systems,"There would be less corruption as every time the lottery happens, all the corruption would leave",pro,16
143,https://www.kialo.com/lottery-should-be-an-integral-component-of-democratic-political-systems-10220,Should lottery be an integral component of democratic political systems?,Lottery should be an integral component of democratic political systems,Being appointed to a position of power by lottery would leave many people overwhelmed and unprepared,con,16
149,https://www.kialo.com/modern-technology-is-a-disadvantage-to-society-31689,Is modern technology a disadvantage to society?,Modern technology is a disadvantage to society,Relying too heavily on technology makes a society vulnerable,pro,9
150,https://www.kialo.com/modern-technology-is-a-disadvantage-to-society-31689,Is modern technology a disadvantage to society?,Modern technology is a disadvantage to society,"Technology allows individuals to own or control property at a distance, lessening that individual's direct responsibility for the property",pro,19
151,https://www.kialo.com/modern-technology-is-a-disadvantage-to-society-31689,Is modern technology a disadvantage to society?,Modern technology is a disadvantage to society,We are unable to enjoy the present moments in our life due to technology,pro,14
152,https://www.kialo.com/modern-technology-is-a-disadvantage-to-society-31689,Is modern technology a disadvantage to society?,Modern technology is a disadvantage to society,"Modern Technology is outpacing our ability to comprehend, write and approve any effective policy that can protect us from technological harm",pro,21
153,https://www.kialo.com/modern-technology-is-a-disadvantage-to-society-31689,Is modern technology a disadvantage to society?,Modern technology is a disadvantage to society,Our society is changing at a pace that must be matched by technological development to prevent disaster,con,17
155,https://www.kialo.com/modern-technology-is-a-disadvantage-to-society-31689,Is modern technology a disadvantage to society?,Modern technology is a disadvantage to society,Technologically backwards countries have no power on the global stage,con,10
156,https://www.kialo.com/modern-technology-is-a-disadvantage-to-society-31689,Is modern technology a disadvantage to society?,Modern technology is a disadvantage to society,Many societies would not be possible without modern technology - especially large urbanized societies,con,14
157,https://www.kialo.com/modern-technology-is-a-disadvantage-to-society-31689,Is modern technology a disadvantage to society?,Modern technology is a disadvantage to society,Technology has forever changed day-to-day life for the better,con,9
158,https://www.kialo.com/no-one-should-feel-obliged-to-change-their-lifestyle-to-combat-global-warming-30084,Should some people feel obliged to change their lifestyle to combat global warming?,No one should feel obliged to change their lifestyle to combat global warming,Politicians and political parties should be responsible for enacting the laws and regulations necessary to make changes at scale,pro,19
159,https://www.kialo.com/no-one-should-feel-obliged-to-change-their-lifestyle-to-combat-global-warming-30084,Should some people feel obliged to change their lifestyle to combat global warming?,No one should feel obliged to change their lifestyle to combat global warming,Changes to individual lifestyles do not make a difference,pro,9
161,https://www.kialo.com/no-one-should-feel-obliged-to-change-their-lifestyle-to-combat-global-warming-30084,Should some people feel obliged to change their lifestyle to combat global warming?,No one should feel obliged to change their lifestyle to combat global warming,People in today's society should change their lifestyles because the quality of life of future generations is equally important,con,19
162,https://www.kialo.com/no-one-should-feel-obliged-to-change-their-lifestyle-to-combat-global-warming-30084,Should some people feel obliged to change their lifestyle to combat global warming?,No one should feel obliged to change their lifestyle to combat global warming,People living in privileged positions have a moral responsibility to change their lifestyles,con,13
164,https://www.kialo.com/pro-life-vs-pro-choice-should-abortion-be-legal-5637,Pro-Life vs Pro-Choice: Should Abortion be Legal?,Pregnant people should have the right to choose abortion,People have a right to bodily autonomy and should ultimately be able to make choices about what happens to their bodies,pro,21
166,https://www.kialo.com/pro-life-vs-pro-choice-should-abortion-be-legal-5637,Pro-Life vs Pro-Choice: Should Abortion be Legal?,Pregnant people should have the right to choose abortion,The ability for people to control their own reproduction is fundamental to achieving gender equality,pro,15
167,https://www.kialo.com/pro-life-vs-pro-choice-should-abortion-be-legal-5637,Pro-Life vs Pro-Choice: Should Abortion be Legal?,Pregnant people should have the right to choose abortion,"If people have the right to choose, they could make biased choices regarding which foetuses to abort",con,17
173,https://www.kialo.com/should-abortion-be-considered-murder-46872,Should abortion be considered murder?,Abortion should legally be considered murder,"Since death is the intention, such procedures should be considered murder",pro,11
175,https://www.kialo.com/should-abortion-be-considered-murder-46872,Should abortion be considered murder?,Abortion should legally be considered murder,"A fetus or embryo is not a person; therefore, abortion should not be considered murder",con,15
176,https://www.kialo.com/should-abortion-be-considered-murder-46872,Should abortion be considered murder?,Abortion should legally be considered murder,Equating abortion with murder would cause women to use unsafe methods and put their lives at risk,con,17
177,https://www.kialo.com/should-animal-testing-be-banned-14258,Should animal testing be banned?,Animal testing should be banned,There are preferable alternatives to animal testing that are more accurate and humane,pro,13
180,https://www.kialo.com/should-animal-testing-be-banned-14258,Should animal testing be banned?,Animal testing should be banned,Animal testing is an effective method of testing products,con,9
181,https://www.kialo.com/should-nuclear-energy-replace-fossil-fuels-9326?path=9326.0~9326.1&active=~9326.1,Should nuclear energy replace fossil fuels?,Nuclear energy should be used to replace fossil fuels,Nuclear energy holds much more potential than fossil fuels in evolving through technological breakthroughs and increased efficiency,pro,17
184,https://www.kialo.com/should-nuclear-energy-replace-fossil-fuels-9326?path=9326.0~9326.1&active=~9326.1,Should nuclear energy replace fossil fuels?,Nuclear energy should be used to replace fossil fuels,There is a concern in nuclear reactor safety and potential disaster to stakeholders,con,13
188,https://www.kialo.com/should-religion-be-involved-in-politics-54660,Should religion be involved in politics?,Religion should be involved in politics,The involvement of religion in politics is necessary to ensure laws and policies are ethical,pro,15
190,https://www.kialo.com/should-religion-be-involved-in-politics-54660,Should religion be involved in politics?,Religion should be involved in politics,"Almost all laws are based on moral beliefs, therefore it is appropriate for religious persons to be involved in politics",pro,20
193,https://www.kialo.com/should-religion-be-involved-in-politics-54660,Should religion be involved in politics?,Religion should be involved in politics,Involving religion in politics is antithetical to the principles of a secular democratic society,con,14
194,https://www.kialo.com/should-religion-be-involved-in-politics-54660,Should religion be involved in politics?,Religion should be involved in politics,Politics and religion should be put aside. Three aspects of life should NOT co-exist: religion-state-army,con,15
195,https://www.kialo.com/should-sex-work-be-legal-1413,Should Sex Work Be Legal?,Buying and selling sex should be legal for sex workers and their clients,The government has no right to outlaw an interaction between consenting adults,pro,12
196,https://www.kialo.com/should-sex-work-be-legal-1413,Should Sex Work Be Legal?,Buying and selling sex should be legal for sex workers and their clients,"It is impossible to eradicate sex work as a profession. Therefore, it would be better to legalise it",pro,18
198,https://www.kialo.com/should-sex-work-be-legal-1413,Should Sex Work Be Legal?,Buying and selling sex should be legal for sex workers and their clients,"The legalisation of sex work increases its prevalence, resulting in more harm",con,12
199,https://www.kialo.com/should-the-sale-of-genetically-modified-food-be-banned-17715,Should the sale of genetically modified food be banned?,The sale of genetically modified food should be banned,Genetically modified food endangers the health of people who consume it,pro,11
200,https://www.kialo.com/should-the-sale-of-genetically-modified-food-be-banned-17715,Should the sale of genetically modified food be banned?,The sale of genetically modified food should be banned,Genetically modified foods can be harmful to the environment and ecosystems,pro,11
202,https://www.kialo.com/should-the-sale-of-genetically-modified-food-be-banned-17715,Should the sale of genetically modified food be banned?,The sale of genetically modified food should be banned,Genetically modified crops can work towards mitigating world hunger and nutritional deficiencies,con,12
203,https://www.kialo.com/should-the-sale-of-genetically-modified-food-be-banned-17715,Should the sale of genetically modified food be banned?,The sale of genetically modified food should be banned,A universal ban is not the right approach to addressing any potential problems with genetically modified foods,con,17
204,https://www.kialo.com/should-the-sale-of-genetically-modified-food-be-banned-17715,Should the sale of genetically modified food be banned?,The sale of genetically modified food should be banned,"GMOs are more cost effective than unmodified foods, bringing many benefits",con,11
212,https://www.kialo.com/the-ethics-of-eating-animals-is-eating-meat-wrong-1229,Is Eating Meat Wrong?,Humans should stop eating animal meat,"Eating meat, in the majority of cases, involves the cruel and immoral treatment of animals",pro,15
213,https://www.kialo.com/the-ethics-of-eating-animals-is-eating-meat-wrong-1229,Is Eating Meat Wrong?,Humans should stop eating animal meat,Vegetarian diets directly and indirectly contribute to better health outcomes for all humans,pro,13
214,https://www.kialo.com/the-ethics-of-eating-animals-is-eating-meat-wrong-1229,Is Eating Meat Wrong?,Humans should stop eating animal meat,Ending the production of meat will be necessary in order to meet the growing food needs of the world's population,pro,20
216,https://www.kialo.com/the-ethics-of-eating-animals-is-eating-meat-wrong-1229,Is Eating Meat Wrong?,Humans should stop eating animal meat,The taste of meat is delicious and brings many people pleasure in a manner that vegetarian food cannot fully imitate,con,20
217,https://www.kialo.com/the-ethics-of-eating-animals-is-eating-meat-wrong-1229,Is Eating Meat Wrong?,Humans should stop eating animal meat,Consuming meat is an important part of many cultures and religions,con,11
219,https://www.kialo.com/the-ethics-of-eating-animals-is-eating-meat-wrong-1229,Is Eating Meat Wrong?,Humans should stop eating animal meat,"Eating meat is a key element of human nature, evolution, and physiology/biology and thus its consumption is inherent to humankind",con,20
220,https://www.kialo.com/the-use-of-plastic-should-be-avoided-9344,Should the use of plastic be avoided?,The use of plastic should be avoided,"The less plastic we use, the less plastic pollution there will be",pro,12
221,https://www.kialo.com/the-use-of-plastic-should-be-avoided-9344,Should the use of plastic be avoided?,The use of plastic should be avoided,"The less plastic we use, the less plastic we need to produce",pro,12
222,https://www.kialo.com/the-use-of-plastic-should-be-avoided-9344,Should the use of plastic be avoided?,The use of plastic should be avoided,"Plastics are exported and, therefore, less plastic reduces emissions that result from transportation",pro,13
227,https://www.kialo.com/the-use-of-plastic-should-be-avoided-9344,Should the use of plastic be avoided?,The use of plastic should be avoided,"As long as it is reusable, there is nothing wrong with plastic",con,12
228,https://www.kialo.com/the-use-of-plastic-should-be-avoided-9344,Should the use of plastic be avoided?,The use of plastic should be avoided,Plastic may just be replaced with something less environmentally sound,con,16
229,https://www.kialo.com/will-man-made-climate-change-cause-human-extinction-31221,Will man-made climate change cause human extinction?,Man-made climate change will cause human extinction,The effects of global warming directly threaten the land and environment that humans need to live,pro,16
230,https://www.kialo.com/will-man-made-climate-change-cause-human-extinction-31221,Will man-made climate change cause human extinction?,Man-made climate change will cause human extinction,Animal species have already started to become extinct. Human extinction is likely to follow,pro,14
232,https://www.kialo.com/will-man-made-climate-change-cause-human-extinction-31221,Will man-made climate change cause human extinction?,Man-made climate change will cause human extinction,"If tipping points are reached, the collapse of ecosystems can lead to the extinction of the human race",pro,18
233,https://www.kialo.com/will-man-made-climate-change-cause-human-extinction-31221,Will man-made climate change cause human extinction?,Man-made climate change will cause human extinction,"Human evolution is slower than the rate of climate change, making it difficult for humans to adapt to climate change",pro,20
236,https://www.kialo.com/will-man-made-climate-change-cause-human-extinction-31221,Will man-made climate change cause human extinction?,Man-made climate change will cause human extinction,Climate Change is slow. We can adapt within that timeframe,con,10
237,https://www.kialo.com/will-man-made-climate-change-cause-human-extinction-31221,Will man-made climate change cause human extinction?,Man-made climate change will cause human extinction,Evidences and statistics suggest that actions taken by us are enough to deal with major climate change,con,17
242,https://www.kialo.com/will-man-made-climate-change-cause-human-extinction-31221,Will man-made climate change cause human extinction?,Man-made climate change will cause human extinction,Man-made carbon emissions are likely to protect humans from another ice age,con,12
286,https://www.kialo.com/we-should-adapt-to-climate-change-rather-than-avert-it-31679,Should we adapt to climate change rather than avert it?,We should adapt to climate change rather than avert it,Adapting to climate change would be faster than averting it,pro,10
287,https://www.kialo.com/we-should-adapt-to-climate-change-rather-than-avert-it-31679,Should we adapt to climate change rather than avert it?,We should adapt to climate change rather than avert it,It is impossible to stop climate change and its impacts,pro,10
288,https://www.kialo.com/we-should-adapt-to-climate-change-rather-than-avert-it-31679,Should we adapt to climate change rather than avert it?,We should adapt to climate change rather than avert it,Humanity has a long history of successfully adapting to climate change,pro,11
289,https://www.kialo.com/we-should-adapt-to-climate-change-rather-than-avert-it-31679,Should we adapt to climate change rather than avert it?,We should adapt to climate change rather than avert it,"Adaptation is a short-term solution, whereas averting climate change is a long-term solution",con,13
290,https://www.kialo.com/we-should-adapt-to-climate-change-rather-than-avert-it-31679,Should we adapt to climate change rather than avert it?,We should adapt to climate change rather than avert it,"If we decide to adapt to climate change, then we will lose the ability to avert it",con,17
245,https://www.kialo.com/should-all-drugs-be-legalised-7100,Should all drugs be legalised?,All drugs should be legalised,The enforcement of the criminalisation of drugs has harmed communities around the world and should be stopped,pro,17
246,https://www.kialo.com/should-all-drugs-be-legalised-7100,Should all drugs be legalised?,All drugs should be legalised,"If drugs were legalised, the drug trade would be less able to fuel serious crime",pro,15
247,https://www.kialo.com/should-all-drugs-be-legalised-7100,Should all drugs be legalised?,All drugs should be legalised,Using drugs can be an important and positive experience for individuals and communities,pro,13
249,https://www.kialo.com/should-all-drugs-be-legalised-7100,Should all drugs be legalised?,All drugs should be legalised,Drugs should remain banned because they are detrimental to the health of those who use them,con,16
272,https://www.kialo.com/there-should-be-no-limit-to-freedom-of-speech-3253,Should there be no limit to freedom of speech?,There should be no limits on freedom of speech,Censorship leads to narrow mindedness by preventing sincere and open discussion,pro,11
276,https://www.kialo.com/there-should-be-no-limit-to-freedom-of-speech-3253,Should there be no limit to freedom of speech?,There should be no limits on freedom of speech,Isolated speech has zero capacity to inflict physical harm,pro,9
280,https://www.kialo.com/there-should-be-no-limit-to-freedom-of-speech-3253,Should there be no limit to freedom of speech?,There should be no limits on freedom of speech,Unlimited freedom of speech can be used to spread hateful and/or harmful ideologies,con,13
281,https://www.kialo.com/there-should-be-no-limit-to-freedom-of-speech-3253,Should there be no limit to freedom of speech?,There should be no limits on freedom of speech,"One person's freedom ends where another's begins: offensive, threatening speech should be illegal",con,13
